method,raw_circuit_condition_failure_rate,raw_failure_rate,raw_finite_interval_available,raw_interval_condition_circuit_joint_coverage,raw_interval_marginal_coverage,raw_interval_mean_width,raw_interval_row_joint_coverage,raw_mae,raw_p95_absolute_error,raw_physical_range_violation_rate,raw_rmse,raw_worst_family_mae,raw_worst_layer_mae,raw_worst_noise_family_mae,raw_worst_shot_budget_mae,raw_worst_strength_mae,clipped_circuit_condition_failure_rate,clipped_failure_rate,clipped_finite_interval_available,clipped_interval_condition_circuit_joint_coverage,clipped_interval_marginal_coverage,clipped_interval_mean_width,clipped_interval_row_joint_coverage,clipped_mae,clipped_p95_absolute_error,clipped_physical_range_violation_rate,clipped_rmse,clipped_worst_family_mae,clipped_worst_layer_mae,clipped_worst_noise_family_mae,clipped_worst_shot_budget_mae,clipped_worst_strength_mae
noisy_sampled,0.0,0.0,True,0.9178530092592593,0.9822579089506173,0.6244852088391781,0.9454861111111111,0.07959049940109253,0.29550662636756897,0.0,0.13266395032405853,0.11533936858177185,0.10151657462120056,0.10086224973201752,0.10329211503267288,0.1357416808605194,0.0,0.0,True,0.9178530092592593,0.9822579089506173,0.6244852088391781,0.9454861111111111,0.07959049940109253,0.29550662636756897,0.0,0.13266395032405853,0.11533936858177185,0.10151657462120056,0.10086224973201752,0.10329211503267288,0.1357416808605194
rf,0.7727430555555556,0.48920476466049384,True,0.9076388888888889,0.9805073302469136,0.858672420703253,0.9327739197530864,0.09228135920210599,0.3235155465831048,0.0,0.15066540127019226,0.1498929504180381,0.12390149622640134,0.10614747216021041,0.1031280561501359,0.12681893275341727,0.7727430555555556,0.48920476466049384,True,0.9076388888888889,0.9805073302469136,0.858672420703253,0.9327739197530864,0.09228135920210599,0.3235155465831048,0.0,0.15066540127019226,0.1498929504180381,0.12390149622640134,0.10614747216021041,0.1031280561501359,0.12681893275341727
simplex,0.9438946759259259,0.5048369984567901,True,0.9120659722222222,0.9808641975308642,0.7061944037799577,0.9368730709876543,0.08492067318445498,0.29009700778422093,0.005495273919753086,0.13506789988621165,0.12349387931940026,0.11568326948828078,0.10238760418910223,0.10125358049019026,0.1283500875507691,0.9417245370370371,0.5006872106481481,True,0.9120659722222222,0.9808641975308642,0.7061944037799577,0.9368730709876543,0.084843939249736,0.29009700778422093,0.0,0.13506170914201673,0.12349387840132059,0.11565775403370776,0.10236993512888894,0.10117213133846083,0.12830724783718617
safe_simplex,0.8730034722222222,0.4207995756172839,True,0.91484375,0.9813777970679012,0.6367970771181783,0.9408468364197531,0.07796715690831363,0.285268567546871,0.0012659143518518518,0.12904676728662565,0.11533538883357715,0.1015820526907376,0.09745732184689931,0.09813570417616521,0.1289092942875309,0.8711226851851852,0.419702449845679,True,0.91484375,0.9813777970679012,0.6367970771181783,0.9408468364197531,0.0779642162250388,0.285268567546871,0.0,0.12904670480831057,0.11533538883357715,0.10158133315525904,0.09745722083388123,0.09813169976701237,0.12890811707793523
safe_ridge,0.9422743055555556,0.45741222993827163,True,0.9161747685185185,0.9823664158950617,0.6396541819113745,0.9430555555555555,0.07768644266689163,0.27649205901896573,0.01820505401234568,0.1269433099947036,0.11348083451741375,0.10007606454278296,0.09283962365845129,0.09935163493810137,0.12683378712247959,0.9339409722222223,0.4447554976851852,True,0.9161747685185185,0.9823664158950617,0.6396541819113745,0.9430555555555555,0.07704059528371143,0.27649205901896573,0.0,0.1268199576439729,0.11346334520725303,0.09969137521916237,0.09264578350028116,0.09867895766322196,0.12644545812928554
raw_cell_affine,0.9356192129629629,0.4708116319444444,True,0.9198206018518519,0.9837239583333334,0.618860119019842,0.9492476851851852,0.07843180570327904,0.28207513615489,0.019000771604938273,0.12889163024485487,0.1101343246742814,0.10086365667726557,0.0939493419473984,0.1033101235740519,0.1346921691457975,0.9322627314814815,0.45907600308641977,True,0.9197337962962963,0.983714313271605,0.6188021425752797,0.9492380401234568,0.07741466903555044,0.28207513615489,0.0,0.12850054963769303,0.10980746334352497,0.1003617816727989,0.09386905434342654,0.10295394399133798,0.13337620533942002
safe_cell_simplex,0.891087962962963,0.40241367669753086,True,0.9157118055555555,0.9820722415123457,0.6177579620534661,0.9439236111111111,0.07524064181605099,0.27964066225999024,0.002621045524691358,0.12710021540209904,0.11067500022642092,0.09883248662177219,0.09516626306162713,0.09659858751824228,0.12591593491989445,0.8887152777777778,0.4000578703703704,True,0.9157118055555555,0.9820722415123457,0.6177579620534661,0.9439236111111111,0.07523632880881621,0.27964066225999024,0.0,0.12710011379384215,0.11067500022642092,0.09883123865581747,0.09516626306162713,0.09659593699055542,0.12591245978558913
