fold,strength_tier,shots,noisy_sampled,linear,rf,hgb,mlp
0,0,128,0.8347432108515735,0.0,0.11555479811918733,0.049701991029238994,0.0
0,0,512,0.9277734730622403,0.02525453689463194,0.04697199004312772,0.0,2.2317479193158373e-18
0,0,2048,0.9545751355074811,0.03926367811775132,0.006161186374767658,0.0,2.9378303654931494e-18
0,0,10000,0.9603592544196276,0.03964074558037253,4.1494046903241e-17,0.0,2.8086391024819864e-17
0,1,128,0.7313724551760248,0.015355643463567603,0.2532719013604078,0.0,0.0
0,1,512,0.8102360242817115,0.053867094742084204,0.13589688097620425,0.0,2.38498962892325e-17
0,1,2048,0.8253429612833106,0.06978065692025215,0.10487638179643728,0.0,0.0
0,1,10000,0.8301751720663822,0.07632932880969336,0.09349549912392449,0.0,2.4026748595324e-17
0,2,128,0.5546962401005797,0.01002750676121431,0.33223401880513453,0.10304223433307147,1.407985044308829e-18
0,2,512,0.5489838678134421,0.06445588327533844,0.3142853383896189,0.0722749105216006,1.045136784694145e-18
0,2,2048,0.5211167644404928,0.07109046187920746,0.40779277368029915,6.544948442985924e-16,6.590102922024773e-18
0,2,10000,0.5085682866482236,0.06598981541258196,0.42544189793919446,0.0,3.09065409809911e-17
1,0,128,0.7390921151151656,0.0,0.11778875671041225,0.14123583907367218,0.0018832891007500015
1,0,512,0.8873977131800571,1.2258723715328527e-16,0.07179986259832141,0.040802424221621364,0.0
1,0,2048,0.9372296817501131,0.016288717506760066,0.04648160074312665,6.116499916051529e-17,0.0
1,0,10000,0.9365726962207661,0.02370812616830125,0.03971917761093268,4.242304588986636e-17,5.329941857477363e-18
1,1,128,0.7213857939601511,0.0,0.15818405926914286,0.12043014677070611,2.118247367793676e-18
1,1,512,0.7976022514564372,0.023021918603059164,0.15764185085835897,0.021733979082144615,3.8949884007579785e-18
1,1,2048,0.8180982197900313,0.05988498191098328,0.1220167982989854,0.0,6.801670471561242e-18
1,1,10000,0.8023268284039501,0.0644398493235485,0.13323332227250131,7.725279437430088e-17,0.0
